version_document;date;page;auteur;texte_surligné;commentaire;Statut;Résolution
0.1;29/05/26;26;Lea DESOUTTER;Identifier les zones à haute valeur patrimoniale mondiale susceptibles d’être impactées par les pressions sur la ressource en eau.;Le but de l'indicateur est de voir l'intérêt des zones UNESCO pour la ressource en eau et pas l'intérêt d'un captage AEP pour les zones UNESCO...    Proposition de reformulation : comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par une zone UNESCO;Intégré v0.2;Reformulation adoptée pour recentrer l'objectif sur l'analyse comparative des captages AEP. La question se pose aussi  plus globalement concernant les indicateurs de contexte et non directement lié à la qualité de l’eau mais plutôt du bonne du milieu biologique. Il faut probablement  organiser certains indicateurs  pour qu’ils interviennent ou non dans les analyses multicritères.
0.1;29/05/26;26;Lea DESOUTTER;100;porquoi 100 et pas 11 ? POur permettre de rajouter des identifiant pour les enjeu AEP entre ?;Intégré v0.2;Confirmation de la codification. Le saut de numérotation à 100 marque le changement de bloc thématique (1-99 : Enjeux AEP directs, 100+ : Enjeux Environnementaux). J ‘ai utiliser un autre identifiant pour les fiches que l’identifiant unique des indicateurs.
0.1;29/05/26;26;Lea DESOUTTER;zones inscrites au patrimoine mondial de l’UNESCO;"a détailler davantage en quoi consiste cette couche; C'est la zone terrestre (tampon) qui alimente les zones marines classées au patrimoine mondiale de l'UNESCO";Intégré v0.3;J’intégrerais une description de cette couche dans la version v.0,3
0.1;29/05/26;26;Lea DESOUTTER;Fiche indicateur n°100;pourquoi on passe à 100 ? Parce qu'on passe des enjeux AEP à des enjeux environnementaux ?;Intégré v0.2;Confirmation de la codification. Le saut de numérotation à 100 marque le changement de bloc thématique (1-99 : Enjeux AEP directs, 100+ : Enjeux Environnementaux). J ‘ai utiliser un autre identifiant pour les fiches que l’identifiant unique des indicateurs.
0.1;29/05/26;27;Lea DESOUTTER;Actualisation : jamais;ponctuel plutôt que jamais;Intégré v0.3;"J’intégrerais le remplacement du terme ""Jamais"" par ""Ponctuel (mise à jour non planifiée)"" en v.0.3."
0.1;29/05/26;28;Lea DESOUTTER;Caractériser le niveau de protection réglementaire du milieu naturel autour des ressources en eau.;Proposition de reformulation : comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par une zone protégée provinciale;Intégré v0.2;Intégration de la reformulation
0.1;29/05/26;29;Lea DESOUTTER;Actualisation : inconnu;Beaucoup de sources sont indiquées en inconnu pour leur actualisation. Voir auprès des fournisseurs de données les mises à jours réelles/ théoriques;À traiter;Relance en cours auprès des services gouvernementaux, des provinces et des partenaires pour compléter le tableau des métadonnées.
0.1;29/05/26;30;Lea DESOUTTER;Identifier les zones à forte valeur écologique (Key Biodiversity Areas, Zones Importantes pour la Conser‐ vation des Oiseaux).;Proposition de reformulation : comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par une zone KBA/ZICO;Intégré v0.2;Intégration de la reformulation
0.1;29/05/26;32;Lea DESOUTTER;Espèces menacées;Je ne suis pas convaincue de la pertinence de cet indicateur par rapport à l'enjeux de protection de la ressource en eau...;En discussion;La question se pose plus globalement concernant les indicateurs de contexte et non directement lié à la qualité de l’eau mais plutôt du bonne du milieu biologique. Il faut probablement  organiser certains indicateurs  pour qu’ils interviennent ou non dans les analyses multicritères.
0.1;29/05/26;34;Lea DESOUTTER;Espèces menacées (Forêt sèche);Reformuler en Superficies de forêt sèche;Intégré v0.2;Libellé modifié pour cibler l'habitat plutôt que l'espèce.
0.1;29/05/26;34;Lea DESOUTTER;Négatif (absence = critique) ?;Positif plutôt ?;En discussion;Clarification de la règle de calcul : Plus la surface de forêt sèche est grande, plus l'état est favorable (donc Positif).La question se pose plus globalement concernant les indicateurs de contexte et non directement lié à la qualité de l’eau mais plutôt du bonne du milieu biologique. Il faut probablement  organiser certains indicateurs  pour qu’ils interviennent ou non dans les analyses multicritères.
0.1;29/05/26;37;Lea DESOUTTER;Aucune source de donnée identifiée.;Dynamic World?;Intégré v0.2;Coquille, ajout du produit d'Occupation des Sols Dynamic World  comme ressource.
0.1;29/05/26;40;Lea DESOUTTER;Enjeux Environnementaux;Ici c'est plutôt une pression anthropique qu'un enjeux...;Intégré v0.3;"Déplacement de la fiche occupation du sol (surface agricole) dans la section ""Pressions anthropiques""."
0.1;29/05/26;52;Lea DESOUTTER;Nombre d’ouvrages croisant le réseau hydrographique;Expliquer le lien entre les ouvrages de franchissement et l'impact sur la ressource AEP (qualité et quantité) car le lien n'est pas si évident que cela;Intégré v0.2;"Rédaction d'un paragraphe explicatif (Chaque pont,
buse ou gué est un point où une pollution routière (hydrocarbures, transport de matières dangereuses) peut entrer directement dans le
cours d’eau en amont d’un captage)"
0.1;29/05/26;59;Lea DESOUTTER;Aucune source de donnée identifiée.;MOS;Intégré v0.2;"Identification de la couche ""Mode d'Occupation du Sol"" comme source de référence."
0.1;29/05/26;66;Lea DESOUTTER;"Pressions Qualitatives Type d’indicateur
Pression";J'aurais plutôt dit que c'est un indicateur d'état (qualitatif) qu'un indicateur de pression...;En discussion;Oui cela pose question. Cette indicateur va être retirée en v.0.3 car probablement impossible à obtenir pour le moment. Il serait certainement plus juste de le mettre dans une famille d’Etat/contexte
0.1;29/05/26;67;Lea DESOUTTER;DASS;DAVAR;À traiter;Incompréhension des rôles et des données disponible. La Correction de l'organisme producteur de la donnée et modifié mais la description n’est plus cohérente. Cette indicateur va être retirée en v.0.3 car probablement impossible à obtenir pour le moment. Il serait certainement plus juste de le mettre dans une famille d’Etat/contexte
0.1;29/05/26;68;Lea DESOUTTER;"Pressions Quantitatives Type d’indicateur
Pression";J'aurais plutôt dit que c'est un indicateur d'état (quantitatif) qu'un indicateur de pression...;En discussion;A première vue j’aurai plutôt penché pour laisser l’indicateur dans les pressions quantitative mais la question se pose aussi car il y a une redondance avec d’autre indicateur (capacité de production et ADOPE). Une discussion doit être menée sur le sujet.
0.1;29/05/26;69;Lea DESOUTTER;GEOREP;est vraiment en ligne sur Géorep ?;Intégré v0.3;Oui depuis le 12 juin 2026
0.1;29/05/26;70;Lea DESOUTTER;Pressions Quantitatives;Il ne me semble pas ce soit une pression.  Pourquoi ne pas reprendre le terme : facteur géographique ?;En discussion;le choix de pression n’est peut etre pas le meilleur pour ce cas, et ce n’est pas non plus un enjeu car nous ne pouvons rien y faire. Si la donnés Nappes revèle plutôt des propriétés structurelle, nous devrions peut être plutôt la mettre dans la famille des vulnerabilités intrinsèques. 
0.1;29/05/26;71;Lea DESOUTTER;Redondance avec capacité production.;Si redondant avec l'indicateur capacité de production c'est bien la preuve que ce n'est pas une pression;En discussion;Oui. A voir si on le conserve et dans quelle famille on le met. Car il y a aussi redondance avec le BBR indirectement.
0.1;29/05/26;71;Lea DESOUTTER;Sources de données;Pas de prise en compte des stations pluvio DAVAR ?;Non intégré;Non, si la pluvio est intégré nous prendrons la donnée Météo France mise a jour fréquemment
0.1;29/05/26;72;Lea DESOUTTER;"Pressions Quantitatives Type d’indicateur
Pression";Il ne me semble pas ce soit une pression.    Pourquoi ne pas reprendre le terme : facteur géographique ?;En discussion;Oui, il s’agit d’un élément de contexte. A voir si on le conserve et dans quelle famille on le met. 
0.1;29/05/26;74;Lea DESOUTTER;AODPE nombre;"""Prélèvement AODPE (nombre)""  Sans préciser ""prélèvement"" dans le titre, on comprend tous IOTA confondus";Intégré v0.3;Changement effectué dans la version v.0.3.
0.1;29/05/26;74;Lea DESOUTTER;prélèvements d’eau autorisés.;captage et forage;Intégré v0.3;Précision ajoutée dans le corps de la définition.
0.1;29/05/26;74;Lea DESOUTTER;Captage;ce serait pas plutôt à une échelle supérieure (la commune) ?  Objectif : permettre d'identifier les communes pour lesquelles il y a plus de demandes d'autorisation de prélèvement;Intégré v0.2;Incompréhension probablement, mais les autorisations sont données aux captages non ? On peut ensuite faire agrégation à l’échelle communale. Comme je ne connais pas la donnée je me trompe peut être.
0.1;29/05/26;76;Lea DESOUTTER;AODPE;Prélèvement AODPE (volume);Intégré v0.2;"Libellé corrigé pour différencier l'indicateur ""Volume"" de l'indicateur ""Nombre""."
0.1;29/05/26;78;Lea DESOUTTER;zones les plus;lDPR indique le niveau de sensibilité d'une zone à permettre des transferts de polluants vers les captages;Intégré v0.3;Modification de la description pour préciser l’objectif dans la v.0.3.
0.1;29/05/26;78;Lea DESOUTTER;400;POruqoi 400 ?;Intégré v0.2;Explication de la codification (Bloc 400 réservé aux indicateurs de vulnérabilité intrinsèque / nappes).
0.1;29/05/26;78;Lea DESOUTTER;IDPR;donner définition du sigle;Intégré v0.2;Sigle plus utilisé car la donnée n’est pas issu de cette methode selon la DIMENC.
0.1;29/05/26;79;Lea DESOUTTER;Clé pour;indicateur important pour la pondération;Intégré v0.2;commentaire de Stéphane retiré en v.0.2
0.1;19/05/2026;Global;Marjolaine DAVID;Pourquoi certains indicateurs tels que Zones UNESCO ou Interconnexion sont exclus de la pondération ?;Cohérence de pondération;En discussion;Règles de pondération à expliciter dans la méthodologie
0.1;19/05/2026;Global;Marjolaine DAVID;Pourquoi certains indicateurs [...] sont relatifs [...] et d'autres [...] sont absolus ?;Harmonisation des formats;Intégré v0.2;Intégration de la correction
0.1;19/05/2026;Global;Marjolaine DAVID;Je restructurerais un peu les fiches [...] faire ressortir ce qui est important;Lisibilité;Intégré v0.2;Refonte globale de la structure des fiches
0.1;19/05/2026;Global;Marjolaine DAVID;Je pense que tu pourrais découper la section Identification [...];Organisation;Intégré v0.2;Séparation des blocs (Identification / Données / Objectif)
0.1;19/05/2026;Global;Marjolaine DAVID;[...] fiche n°305 [...] confusion;Numérotation;Intégré v0.2;Révision du système de numérotation des fiches (indépendante de l’identifiant des indicateurs)
0.1;19/05/2026;Global;Marjolaine DAVID;Les sections sens de l’indicateur et définition de la criticité me semblent redondantes;Redondance;Intégré v0.2;Reformulation du glossaire et de la valeur de criticité pour certains indicateurs et de certains sens de l’indicateur. 
0.1;19/05/2026;Global;Marjolaine DAVID;Certains détails [...] représentation cartographique [...] hors scope;Niveau de détail;Non intégré;
0.1;19/05/2026;Global;Marjolaine DAVID;La section Synthèse échanges [...] me semble de trop;Contenu interne;Intégré v0.2;Suppression des éléments
0.2;10/06/2026;22;Marjolaine DAVID;Je ne suis pas convaincue de la pertinence de l'indicateur espèces menacées [...];Pertinence AEP;En discussion;Oui pertinence à revoir dans le cadre purement AEP 
0.2;10/06/2026;17-23;Marjolaine DAVID;Je ne sais pas s'il faut prendre en compte les enjeux environnementaux [...] ou juste AEP ?;Périmètre du modèle;En discussion;Proposition d’introduire une catégorie “Contexte” pour distinguer les indicateurs informatifs (à valider collectivement)
0.2;10/06/2026;37-40;Marjolaine DAVID;[...] un seul indicateur de couverture végétale/forestière peut suffire;Redondance;En discussion;Proposition de fusion avec utilisation de source multiple (MOS / TMF) 
0.2;10/06/2026;66-68;Marjolaine DAVID;Peut-être que tu peux enlever l'indicateur sur la qualité de l'eau ?;Faisabilité / pertinence;En discussion;La donnée semble complexe à obtenir voir impossible. Proposition de retrait ou de maintien en indicateur de contexte (hors pondération)
0.2;10/06/2026;70-72;Marjolaine DAVID;Tu as mis la pluvio [...] faudrait trancher;Arbitrage indicateur;En discussion;Proposition de retrait du calcul multicritère et maintien en contexte d’interprétation. Indicateur fixé comme non prioritaire.
0.2;10/06/2026;Global;Marjolaine DAVID;[...] indicateurs [...] enjeu et vulnérabilité [...] ?;Double appartenance;En discussion;Un indicateur ne devrait appartenir qu`a une seule famille. 
0.2;10/06/2026;14-16;Marjolaine DAVID;[...] type de captage [...] enjeu [...] vulnérabilité [...];Classement ambigu;En discussion;Proposition de reclassement en vulnérabilité 
0.2;10/06/2026;Global;Marjolaine DAVID;[...] oublié de remplacer [...] définition enjeux / pression [...];Définitions incorrectes;Intégré v0.3;Correction  des encadrés de définition
0.2;10/06/2026;Global;Marjolaine DAVID;Je ne comprends pas toujours [...] étiquettes diagnostic/pilotage/veille;Manque de clarté;Intégré v0.3;J’ai changé le terme en Agir / Surveiller / Comprendre pour que ça parle plus. L’idée est de donnée un vision métier sur les indicateurs et possiblement de regrouper des objectifs selon cette dimension.
